DOI	URL	title	author	issued
10.1126/science.abo3627	http://dx.doi.org/10.1126/science.abo3627	Inborn errors of OAS–RNase L in SARS-CoV-2–related multisystem inflammatory syndrome in children		2022-12-20
10.1126/science.adg1902	http://dx.doi.org/10.1126/science.adg1902	In China, ‘zero COVID’ has become a Catch-22	Normile	2022-12-9
10.1126/science.ade1051	http://dx.doi.org/10.1126/science.ade1051	COVID-19 vaccination and menstruation	Male	2022-11-18
10.1126/science.adf3945	http://dx.doi.org/10.1126/science.adf3945	Heart risks fuel debate over COVID-19 boosters	Couzin-Frankel	2022-10-21
10.1126/science.adf0777	http://dx.doi.org/10.1126/science.adf0777	New Omicron strains may portend big COVID-19 waves	Vogel	2022-9-30
10.1126/science.ade8709	http://dx.doi.org/10.1126/science.ade8709	Private venture tackles Long Covid, aims to test drugs soon	Couzin-Frankel	2022-9-16
10.1126/science.ade1675	http://dx.doi.org/10.1126/science.ade1675	COVID-19 and children	Pierce, Herold, Herold, Chou, Randolph, Kane, McFarland, Gurdasani, Pagel, Hotez, Cobey, Hensley	2022-9-9
10.1126/science.abp8715	http://dx.doi.org/10.1126/science.abp8715	The Huanan Seafood Wholesale Market in Wuhan was the early epicenter of the COVID-19 pandemic	Worobey, Levy, Malpica Serrano, Crits-Christoph, Pekar, Goldstein, Rasmussen, Kraemer, Newman, Koopmans, Suchard, Wertheim, Lemey, Robertson, Garry, Holmes, Rambaut, Andersen	2022-8-26
10.1126/science.add2897	http://dx.doi.org/10.1126/science.add2897	T cell immunity to COVID-19 vaccines	Wherry, Barouch	2022-8-19
10.1126/science.ade4427	http://dx.doi.org/10.1126/science.ade4427	Long Covid clues emerge from patients’ blood	Couzin-Frankel	2022-8-19
10.1126/science.abm3125	http://dx.doi.org/10.1126/science.abm3125	Pathogen-sugar interactions revealed by universal saturation transfer analysis		2022-7-22
10.1126/science.add4602	http://dx.doi.org/10.1126/science.add4602	Vaccinate to combat COVID-19 in China	Chen, Guo, Zhu	2022-7-15
10.1126/science.add8599	http://dx.doi.org/10.1126/science.add8599	Nailing the nuance on COVID-19	Wachter	2022-7-15
10.1126/science.add5130	http://dx.doi.org/10.1126/science.add5130	Zero-COVID Editorial lacks balance	Mitcham, Nordmann, Liu	2022-7-15
10.1126/science.add4321	http://dx.doi.org/10.1126/science.add4321	Glacial pace for U.S. Long Covid grants	Wadman	2022-6-17
10.1126/science.add4297	http://dx.doi.org/10.1126/science.add4297	Clues to long COVID	Couzin-Frankel	2022-6-17
10.1126/science.add1891	http://dx.doi.org/10.1126/science.add1891	Zeroing out on zero-COVID	Kirby	2022-6-3
10.1126/science.add0532	http://dx.doi.org/10.1126/science.add0532	‘COVID-ization’ of research levels off	Brainard	2022-5-20
